Department,Final Product Code,Final Product Name,Ingredient Prod Code,Ingredient Description,Pack Deliver,Weight,Recipe
BUTCHERY,30357,IZOSO SHISA NYAMA BRAAIWORS,28863,VAC CROPS 90/10,P/KG,30,30
,,,28760,BEEF KIDNEY FAT,P/KG,10,10
,,,33696,SPAR WATER,P/KG,11.45,11.45
,,,30786,IZOSO SHISA NYAMA BRAAIWORS,P/KG,1.9,1.9
,,,28695,HALAAL SHEEP CASINGS,P/KG,,1.334
BUTCHERY,33168,SWEET CHILLI BEEF SAUSAGE,28863,VAC CROPS 90/10,P/KG,11.5,11.5
,,,33696,SPAR WATER,P/KG,2.5,2.5
,,,31965,SUASAGE SW/CHILLIE M/CLUB,1KG,1,1
,,,28695,HALAAL SHEEP CASINGS,P/KG,,0.375
BAKERY,26710,WHITE BREAD,15736,W/CAPE MILL MIX WHT BRD,9.5KG,47.5,47.5
,,,28779,YEAST WET,P/KG,1,1
,,,29030,SPAR WATER,P/KG,24.7,24.7
,,,28495,SPAR WHITE BREAD BAG,600GR,,122
BAKERY,26711,BROWN BREAD,15737,W/CAPE MILL MIX BRWN BRD,9.5KG,47.5,47.5
,,,28779,YEAST WET,P/KG,1,1
,,,29030,SPAR WATER,P/KG,26,26
,,,28495,SPAR WHITE BREAD BAG,600GR,,122
BAKERY,27320,RAISIN LOAF,28667,WC MILLING SOFT ROLL MIX,12.5K,12.5,12.5
,,,2520,SMARTBAKER MIX,12.5K,3.5,3.5
,,,28779,YEAST WET,P/KG,0.5,0.5
,,,29030,SPAR WATER,P/KG,6,6
,,,27691,POLYPROP 250X400X30,EA,,45
BAKERY,26910,TEA BUNS,28667,WC MILLING SOFT ROLL MIX,12.5K,12.5,12.5
,,,2520,SMARTBAKER MIX,12.5K,3.5,3.5
,,,28779,YEAST WET,P/KG,0.5,0.5
,,,29030,SPAR WATER,P/KG,6,6
,,,27691,POLYPROP 250X400X30,EA,,75
BAKERY,27322,MOSBOLLETJIES,28667,WC MILLING SOFT ROLL MIX,12.5K,12.5,12.5
,,,27514,ANISEED WHOLE,P/KG,1,1
,,,28779,YEAST WET,P/KG,0.5,0.5
,,,29030,SPAR WATER,P/KG,6,6
,,,27691,POLYPROP 250X400X30,EA,,40
BAKERY,27323,SCHOOL BUN,28667,WC MILLING SOFT ROLL MIX,12.5K,12.5,12.5
,,,28779,YEAST WET,P/KG,0.5,0.5
,,,29030,SPAR WATER,P/KG,6,6
,,,27691,POLYPROP 250X400X30,EA,,52
,,,26539,4051 PER BOX ONLY HOTCROSS,EA,,52
,,,27494,SYRUP BAKERY CHIPKINS,P/KG,,0.5
BAKERY,26713,SOFT ROUND ROLL,28667,WC MILLING SOFT ROLL MIX,12.5K,12.5,12.5
,,,28779,YEAST WET,P/KG,0.5,0.5
,,,29030,SPAR WATER,P/KG,6,6
,,,27751,GREASE PROOF 2,EA,,271
BAKERY,26734,SOFT HOTDOG ROLLS,28667,WC MILLING SOFT ROLL MIX,12.5K,12.5,12.5
,,,28779,YEAST WET,P/KG,0.5,0.5
,,,29030,SPAR WATER,P/KG,6,6
,,,27751,GREASE PROOF 2,EA,,271
BAKERY,26751,ZUKI'S SCONE,15732,WC MILLING CAKE FLOUR,12.5K,8,8
,,,28222,MILK FULL CREAM,20L,1.4,1.4
,,,29322,OIL VEGETABLE CHIPKINS,20LT,1.4,1.4
,,,27492,SUGAR WHITE HULETS,P/KG,1.4,1.4
,,,26370,GOLDEN YOLK LOOSE BAKERY EGGS,30'S,1.4,0.933
,,,28313,HERCULES BAKING POWDER,P/KG,0.4,0.4
BAKERY,26753,ROCK BUNS,2520,SMARTBAKER MIX,12.5K,0.16,0.16
,,,15732,WC MILLING CAKE FLOUR,12.5K,8,8
,,,28222,MILK FULL CREAM,20L,1.4,1.4
,,,29322,OIL VEGETABLE CHIPKINS,20LT,1.4,1.4
,,,27492,SUGAR WHITE HULETS,P/KG,1.4,1.4
,,,26370,GOLDEN YOLK LOOSE BAKERY EGGS,30'S,0.933,0.933
,,,28313,HERCULES BAKING POWDER,P/KG,0.4,0.4
BAKERY,26739,PORTUGUESE BREAD,28483,WC MILLING CRISPY MIX,12.5K,13.5,13.5
,,,28779,YEAST WET,P/KG,0.5,0.5
,,,29030,SPAR WATER,P/KG,6.5,6.5
BAKERY,26908,MILK TART,27492,SUGAR WHITE HULETS,P/KG,1,1
,,,27498,MARG YELLOW WOODEN SPOON,P/KG,1,1
,,,28293,BAVARIAN SUPREME,P/KG,0.6,0.6
,,,28222,MILK FULL CREAM,20L,10,10
